segments.date,campaign.name,segments.conversion_action,segments.conversion_action_name,metrics.conversions,metrics.conversions_by_conversion_date,metrics.all_conversions,metrics.conversions_value,metrics.all_conversions_value
2026-04-10,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,2.0,2.0,2.0,2.0
2026-04-11,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,1.0,0.0,0.0,0.0
2026-04-12,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-04-13,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,1.0,2.0,2.0,2.0
2026-04-14,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,3.0,2.0,2.0,2.0
2026-04-15,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-04-16,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,1.0,0.0,0.0,0.0
2026-04-17,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-04-18,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,0.0,1.0,1.0,1.0
2026-04-20,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,2.0,2.0,2.0,2.0
2026-04-21,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-04-22,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.25,1.0,1.25,1.25,1.25
2026-04-23,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-04-24,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,1.0,2.0,2.0,2.0
2026-04-25,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,0.0,1.0,1.0,1.0
2026-04-27,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,2.0,1.0,1.0,1.0
2026-04-28,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,1.0,0.0,0.0,0.0
2026-04-29,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.25,1.0,1.25,1.25,1.25
2026-04-30,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-05-01,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,3.0,2.0,2.0,2.0
2026-05-02,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-05-03,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,2.0,2.0,2.0,2.0
2026-05-04,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,2.0,2.0,2.0,2.0
2026-05-05,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,3.0,2.0,2.0,2.0
2026-05-06,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.523343,1.0,1.523343,1.523343,1.523343
2026-05-08,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.25,2.0,2.25,2.25,2.25
2026-05-09,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,0.0,1.0,1.0,1.0
2026-05-13,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,2.0,2.0,2.0,2.0
2026-05-14,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,2.0,1.0,1.0,1.0
2026-05-15,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,1.0,0.0,0.0,0.0
2026-05-18,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),3.0,2.0,3.0,3.0,3.0
2026-05-19,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,2.0,2.0,2.0,2.0
2026-05-20,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,1.0,0.0,0.0,0.0
2026-05-21,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,0.0,1.0,1.0,1.0
2026-05-22,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,2.0,2.0,2.0,2.0
2026-05-23,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,0.0,2.0,2.0,2.0
2026-05-24,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,1.0,0.0,0.0,0.0
2026-05-27,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.726657,2.0,1.726657,1.726657,1.726657
2026-05-28,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,1.0,2.0,2.0,2.0
2026-05-29,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,1.0,0.0,0.0,0.0
2026-06-01,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-06-02,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,1.0,2.0,2.0,2.0
2026-06-04,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-06-05,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-06-08,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,2.0,2.0,2.0,2.0
2026-06-09,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,0.0,1.0,1.0,1.0
2026-06-10,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,2.0,1.0,1.0,1.0
2026-06-12,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-06-13,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-06-15,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,1.0,0.0,0.0,0.0
2026-06-16,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,2.0,2.0,2.0,2.0
2026-06-17,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),2.0,2.0,2.0,2.0,2.0
2026-06-18,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.666666,1.0,1.666666,1.666666,1.666666
2026-06-19,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.333334,1.0,0.333334,0.333334,0.333334
2026-06-22,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,1.0,0.0,0.0,0.0
2026-06-23,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),3.0,2.0,3.0,3.0,3.0
2026-06-24,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,2.0,1.0,1.0,1.0
2026-06-26,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-06-28,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
2026-06-29,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),3.0,3.0,3.0,3.0,3.0
2026-06-30,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.5,1.0,0.5,0.5,0.5
2026-07-01,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.5,1.0,0.5,0.5,0.5
2026-07-02,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),1.0,1.0,1.0,1.0,1.0
